trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-200.63057878139517,"{0: 11, 1: 5, 2: 5, 3: 1, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.5}",20,15,8.475765545450779,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.3333333333333333}",20,0,-37.14049497296152,"{0: 17, 1: 0, 2: 2, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.25}",30,21,-7.458769660057445,"{0: 7, 1: 0, 2: 2, 3: 0, 4: 0}",1
5,False,"{'a': 0.5, 'e': 0.2}",30,0,-9.378495583813912,"{0: 27, 1: 0, 2: 1, 3: 2, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.16666666666666666}",20,15,8.812272310722847,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,False,"{'a': 0.5, 'e': 0.14285714285714285}",20,7,18.60594695731141,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.125}",30,0,-80.72116367002015,"{0: 25, 1: 1, 2: 1, 3: 1, 4: 2}",1
9,False,"{'a': 0.5, 'e': 0.1111111111111111}",30,11,3.050476523516875,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 0}",1
10,False,"{'a': 0.5, 'e': 0.1}",25,14,0.6381222407436324,"{0: 9, 1: 1, 2: 1, 3: 0, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.09090909090909091}",20,13,9.720058193423425,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
12,False,"{'a': 0.5, 'e': 0.08333333333333333}",25,14,-11.31537042581827,"{0: 9, 1: 0, 2: 1, 3: 1, 4: 0}",1
13,False,"{'a': 0.5, 'e': 0.07692307692307693}",30,15,31.321200903127878,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
14,False,"{'a': 0.5, 'e': 0.07142857142857142}",20,11,17.08694734606149,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.06666666666666667}",20,16,7.410855854683561,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
16,False,"{'a': 0.5, 'e': 0.0625}",20,0,30.095989292037743,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.058823529411764705}",25,9,28.322041006255102,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
18,False,"{'a': 0.5, 'e': 0.05555555555555555}",30,13,21.097085893142555,"{0: 16, 1: 0, 2: 1, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.05263157894736842}",30,23,15.79657998452604,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
20,False,"{'a': 0.5, 'e': 0.05}",20,13,12.306089044137318,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.047619047619047616}",25,11,11.311709172407957,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
1,True,"{'a': 0, 'e': 0}",20,3,29.770341389191895,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
2,True,"{'a': 0, 'e': 0}",25,7,34.938746468108455,"{0: 18, 1: 0, 2: 0, 3: 0, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,9,21.346507724458732,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",30,16,21.942595034262283,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
5,True,"{'a': 0, 'e': 0}",25,9,25.55168727351167,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",25,10,22.12211878420502,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",20,3,28.818317741290638,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
8,True,"{'a': 0, 'e': 0}",25,0,13.43648385781989,"{0: 24, 1: 0, 2: 0, 3: 1, 4: 0}",1
9,True,"{'a': 0, 'e': 0}",25,11,25.085995514908706,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
10,True,"{'a': 0, 'e': 0}",20,0,27.137545032861325,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
