trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.999000999000999, 'e': 0.9900597244063016}",25,0,-159.66619735216267,"{0: 14, 1: 2, 2: 5, 3: 2, 4: 2}",0
2,False,"{'a': 0.998003992015968, 'e': 0.9802378037753545}",30,0,-104.29319433553108,"{0: 22, 1: 1, 2: 4, 3: 2, 4: 1}",0
3,False,"{'a': 0.9970089730807578, 'e': 0.9705326163168884}",20,10,-40.30461821902945,"{0: 5, 1: 1, 2: 4, 3: 0, 4: 0}",1
4,False,"{'a': 0.9960159362549801, 'e': 0.9609425652081235}",25,0,-109.56870125954958,"{0: 17, 1: 2, 2: 4, 3: 0, 4: 2}",0
5,False,"{'a': 0.9950248756218906, 'e': 0.95146607816898}",30,0,-179.29678124221107,"{0: 19, 1: 4, 2: 2, 3: 2, 4: 3}",0
6,False,"{'a': 0.9940357852882704, 'e': 0.9421016070451778}",25,3,-74.87122573578516,"{0: 17, 1: 2, 2: 1, 3: 0, 4: 2}",1
7,False,"{'a': 0.9930486593843099, 'e': 0.9328476273990693}",30,6,-14.649354890085696,"{0: 20, 1: 1, 2: 2, 3: 1, 4: 0}",1
8,False,"{'a': 0.9920634920634921, 'e': 0.9237026381080495}",25,0,-161.37849095926583,"{0: 16, 1: 2, 2: 3, 3: 1, 4: 3}",0
9,False,"{'a': 0.9910802775024777, 'e': 0.9146651609703914}",35,14,-186.68602988284488,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 4}",1
10,False,"{'a': 0.9900990099009901, 'e': 0.9057337403183587}",25,9,-80.10859314597735,"{0: 10, 1: 2, 2: 2, 3: 1, 4: 1}",1
11,False,"{'a': 0.9891196834817013, 'e': 0.8969069426384505}",25,0,-65.74400193023104,"{0: 17, 1: 4, 2: 3, 3: 0, 4: 1}",0
12,False,"{'a': 0.9881422924901185, 'e': 0.8881833561986344}",20,0,-112.10638692765566,"{0: 12, 1: 1, 2: 4, 3: 2, 4: 1}",0
13,False,"{'a': 0.9871668311944719, 'e': 0.8795615906824316}",20,0,-114.38982247471804,"{0: 11, 1: 4, 2: 3, 3: 0, 4: 2}",0
14,False,"{'a': 0.9861932938856016, 'e': 0.8710402768297142}",20,0,-71.58318187888159,"{0: 14, 1: 0, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.9852216748768473, 'e': 0.8626180660840849}",20,6,-108.39367726019869,"{0: 9, 1: 0, 2: 2, 3: 1, 4: 2}",1
16,False,"{'a': 0.984251968503937, 'e': 0.8542936302467059}",20,0,-65.5199633955307,"{0: 12, 1: 1, 2: 7, 3: 0, 4: 0}",0
17,False,"{'a': 0.983284169124877, 'e': 0.8460656611364512}",20,0,-58.877900870279966,"{0: 12, 1: 4, 2: 2, 3: 2, 4: 0}",0
18,False,"{'a': 0.9823182711198428, 'e': 0.8379328702562561}",20,0,-88.32118067298748,"{0: 12, 1: 1, 2: 6, 3: 0, 4: 1}",0
19,False,"{'a': 0.9813542688910697, 'e': 0.8298939884655423}",20,0,-32.841854689393195,"{0: 14, 1: 2, 2: 4, 3: 0, 4: 0}",0
20,False,"{'a': 0.9803921568627451, 'e': 0.8219477656585986}",25,0,-103.12955829441265,"{0: 15, 1: 3, 2: 5, 3: 1, 4: 1}",0
