trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,6,-126.44109938841568,"{0: 10, 1: 1, 2: 6, 3: 0, 4: 2}",1
2,False,"{'a': 0.5, 'e': 0.5325205447199813}",35,6,-103.47966042821714,"{0: 19, 1: 1, 2: 8, 3: 0, 4: 1}",1
3,False,"{'a': 0.5, 'e': 0.3683438344654889}",20,0,-83.49414201062143,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
4,False,"{'a': 0.5, 'e': 0.28357813054886566}",25,0,-81.34126271344088,"{0: 15, 1: 3, 2: 5, 3: 2, 4: 0}",0
5,False,"{'a': 0.5, 'e': 0.2315115823541309}",20,0,-85.40382803709306,"{0: 15, 1: 2, 2: 1, 3: 0, 4: 2}",0
6,False,"{'a': 0.5, 'e': 0.1961506593738088}",25,0,-10.327042026713935,"{0: 21, 1: 3, 2: 0, 3: 1, 4: 0}",0
7,False,"{'a': 0.5, 'e': 0.17050183388137433}",20,0,-79.23325753295498,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
8,False,"{'a': 0.5, 'e': 0.15101118055055593}",25,0,-87.56088141857434,"{0: 18, 1: 0, 2: 5, 3: 1, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.1356771803887395}",25,0,-54.86758331615184,"{0: 18, 1: 2, 2: 4, 3: 1, 4: 0}",0
10,False,"{'a': 0.5, 'e': 0.12328467394420663}",35,0,-189.52873752658002,"{0: 18, 1: 4, 2: 10, 3: 1, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.11305229344657916}",20,14,-32.07711852073255,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 1}",1
12,False,"{'a': 0.5, 'e': 0.10445425597692418}",20,0,-118.80629597965685,"{0: 9, 1: 1, 2: 8, 3: 2, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.09712347778612716}",25,0,-108.53863172152485,"{0: 18, 1: 2, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.09079572945426523}",25,0,-237.21745372429277,"{0: 13, 1: 1, 2: 5, 3: 2, 4: 4}",0
15,False,"{'a': 0.5, 'e': 0.0852758639674934}",25,0,-95.54125254230586,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
16,False,"{'a': 0.5, 'e': 0.0804165561255895}",35,0,-123.90844079343137,"{0: 23, 1: 4, 2: 6, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 0.07610445346562106}",20,0,-28.335640890624695,"{0: 14, 1: 4, 2: 2, 3: 0, 4: 0}",0
18,False,"{'a': 0.5, 'e': 0.07225088600668272}",30,0,-66.21347384231517,"{0: 22, 1: 3, 2: 4, 3: 0, 4: 1}",0
19,False,"{'a': 0.5, 'e': 0.06878547274277376}",30,0,-197.90474728508423,"{0: 17, 1: 3, 2: 6, 3: 1, 4: 3}",0
20,False,"{'a': 0.5, 'e': 0.0656516217243942}",25,0,-236.21676830417434,"{0: 10, 1: 5, 2: 6, 3: 0, 4: 4}",0
1,True,"{'a': 0, 'e': 0}",35,0,-209.23931406312738,"{0: 20, 1: 5, 2: 5, 3: 2, 4: 3}",0
2,True,"{'a': 0, 'e': 0}",20,0,-100.10749219434342,"{0: 10, 1: 2, 2: 6, 3: 2, 4: 0}",0
3,True,"{'a': 0, 'e': 0}",35,0,-123.02403309175733,"{0: 22, 1: 3, 2: 8, 3: 1, 4: 1}",0
4,True,"{'a': 0, 'e': 0}",25,0,-78.89451439656236,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
5,True,"{'a': 0, 'e': 0}",20,0,-44.57992695262907,"{0: 15, 1: 0, 2: 4, 3: 1, 4: 0}",0
6,True,"{'a': 0, 'e': 0}",20,0,-170.44042468621066,"{0: 12, 1: 1, 2: 3, 3: 1, 4: 3}",0
7,True,"{'a': 0, 'e': 0}",20,0,-50.92429633301581,"{0: 16, 1: 0, 2: 3, 3: 0, 4: 1}",0
8,True,"{'a': 0, 'e': 0}",25,0,-66.39951036874137,"{0: 16, 1: 3, 2: 5, 3: 1, 4: 0}",0
9,True,"{'a': 0, 'e': 0}",20,4,-75.32082187839626,"{0: 9, 1: 2, 2: 4, 3: 0, 4: 1}",1
10,True,"{'a': 0, 'e': 0}",20,0,-55.780032392729936,"{0: 13, 1: 0, 2: 7, 3: 0, 4: 0}",1
